City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,masuguru,-11.3667,38.4167,21.87,98,70,1.15,TZ,2024-04-24
1,edinburgh of the seven seas,-37.0676,-12.3116,15.28,74,59,3.33,SH,2024-04-24
2,tiksi,71.6872,128.8694,-10.0,80,98,3.75,RU,2024-04-24
3,guerrero negro,27.9769,-114.0611,15.8,76,85,7.16,MX,2024-04-24
4,ad dawadimi,24.5077,44.3924,15.64,22,2,2.59,SA,2024-04-24
5,bredasdorp,-34.5322,20.0403,15.23,96,100,0.38,ZA,2024-04-24
6,brokopondo,4.75,-55.1667,24.99,85,100,4.98,SR,2024-04-24
7,colonia,50.9333,6.95,5.53,83,20,3.09,DE,2024-04-24
8,port-aux-francais,-49.35,70.2167,4.32,66,53,14.4,TF,2024-04-24
9,albany,42.6001,-73.9662,11.62,45,98,0.89,US,2024-04-24
10,margaret river,-33.95,115.0667,18.47,40,7,5.43,AU,2024-04-24
11,bethel,41.3712,-73.414,9.47,63,0,2.06,US,2024-04-24
12,keflavik,64.0049,-22.5624,7.24,100,100,1.54,IS,2024-04-24
13,blackmans bay,-43.0167,147.3167,14.07,58,27,0.89,AU,2024-04-24
14,remire-montjoly,4.9167,-52.2667,26.02,89,40,1.03,GF,2024-04-24
15,papatowai,-46.5619,169.4708,16.67,65,100,1.59,NZ,2024-04-24
16,la passe,45.5549,-0.8967,11.1,86,32,2.88,FR,2024-04-24
17,chonchi,-42.6128,-73.8092,9.51,93,100,2.86,CL,2024-04-24
18,yellowknife,62.456,-114.3525,0.23,92,75,1.54,CA,2024-04-24
19,longyearbyen,78.2186,15.6401,-6.09,79,0,5.14,SJ,2024-04-24
20,ushuaia,-54.8,-68.3,5.81,81,20,1.54,AR,2024-04-24
21,mirny,62.5353,113.9611,-0.43,94,95,3.58,RU,2024-04-24
22,westport,41.1415,-73.3579,9.92,65,0,4.92,US,2024-04-24
23,sittwe,20.15,92.9,30.51,67,1,2.36,MM,2024-04-24
24,enewetak,11.3474,162.3373,27.63,81,100,8.04,MH,2024-04-24
25,boiling springs,35.0465,-81.9818,16.16,51,0,1.54,US,2024-04-24
26,tsiombe,-25.3,45.4833,19.84,96,9,2.06,MG,2024-04-24
27,georgiyevka,43.0369,74.7114,15.02,77,40,2.0,KZ,2024-04-24
28,saldanha,-33.0117,17.9442,14.05,95,100,2.95,ZA,2024-04-24
29,suoyarvi,62.0833,32.35,-0.57,96,100,2.29,RU,2024-04-24
30,sao jose da coroa grande,-8.8978,-35.1478,26.23,83,57,1.63,BR,2024-04-24
31,georgetown,5.4112,100.3354,31.96,74,20,1.03,MY,2024-04-24
32,wailua homesteads,22.0669,-159.378,27.24,80,40,9.26,US,2024-04-24
33,marsh harbour,26.5412,-77.0636,20.92,59,35,5.52,BS,2024-04-24
34,alappuzha,9.49,76.3264,28.89,77,88,1.8,IN,2024-04-24
35,ilulissat,69.2167,-51.1,9.01,46,37,6.69,GL,2024-04-24
36,kristiansund,63.1115,7.732,3.36,65,100,3.09,NO,2024-04-24
37,taroa,8.7058,171.2275,27.82,85,100,9.32,MH,2024-04-24
38,hammerfest,70.6634,23.6821,-0.75,80,100,3.6,NO,2024-04-24
39,thompson,55.7435,-97.8558,-1.91,37,20,1.54,CA,2024-04-24
40,olonkinbyen,70.9221,-8.7187,-1.56,70,1,2.11,SJ,2024-04-24
41,iqaluit,63.7506,-68.5145,-3.15,73,100,0.0,CA,2024-04-24
42,mugia,43.1041,-9.2179,10.51,74,84,8.19,ES,2024-04-24
43,puerto natales,-51.7236,-72.4875,4.07,89,100,2.49,CL,2024-04-24
44,grytviken,-54.2811,-36.5092,-2.23,79,51,12.05,GS,2024-04-24
45,invercargill,-46.4,168.35,19.45,55,100,5.36,NZ,2024-04-24
46,broken hill,-31.95,141.4333,15.74,33,2,7.81,AU,2024-04-24
47,harper,4.375,-7.7169,27.32,84,88,2.35,LR,2024-04-24
48,waitangi,-43.9535,-176.5597,15.46,83,14,6.26,NZ,2024-04-24
49,lebu,-37.6167,-73.65,8.73,77,2,1.76,CL,2024-04-24
50,tangalle,6.024,80.7911,28.84,77,100,0.96,LK,2024-04-24
51,khorixas,-20.3667,14.9667,21.49,24,0,1.54,NA,2024-04-24
52,dudinka,69.4058,86.1778,-10.74,87,53,6.26,RU,2024-04-24
53,mentougou,39.9392,116.0917,17.52,26,0,2.16,CN,2024-04-24
54,drayton valley,53.2168,-114.9854,9.27,53,58,3.49,CA,2024-04-24
55,akureyri,65.6835,-18.0878,-2.04,100,0,0.0,IS,2024-04-24
56,funafuti,-8.5243,179.1942,33.0,70,40,5.14,TV,2024-04-24
57,mount pearl,47.5166,-52.7813,0.04,83,100,2.04,CA,2024-04-24
58,pitimbu,-7.4706,-34.8086,26.33,81,94,2.82,BR,2024-04-24
59,constantia,44.1833,28.65,12.61,91,100,5.72,RO,2024-04-24
60,shimanovsk,52.0,127.7,12.1,57,73,3.72,RU,2024-04-24
61,tucurui,-3.7661,-49.6725,23.69,95,84,0.83,BR,2024-04-24
62,khilok,51.3674,110.4676,5.49,19,10,4.53,RU,2024-04-24
63,san jose,37.3394,-121.895,15.9,64,100,4.12,US,2024-04-24
64,mersa matruh,31.3525,27.2453,19.56,79,100,7.51,EG,2024-04-24
65,college,64.8569,-147.8028,13.18,39,75,0.45,US,2024-04-24
66,isafjordur,66.0755,-23.124,3.25,84,79,1.07,IS,2024-04-24
67,trebinje,42.7119,18.3442,12.2,62,75,3.09,BA,2024-04-24
68,san patricio,28.017,-97.5169,23.97,84,75,6.0,US,2024-04-24
69,hawaiian paradise park,19.5933,-154.9731,24.46,85,100,6.69,US,2024-04-24
70,chamrajnagar,11.9167,76.95,28.76,43,100,1.19,IN,2024-04-24
71,praia da vitoria,38.7333,-27.0667,16.14,82,75,5.3,PT,2024-04-24
72,gaspe,48.8334,-64.4819,9.12,37,20,5.66,CA,2024-04-24
73,hasaki,35.7333,140.8333,17.38,72,100,4.65,JP,2024-04-24
74,bilibino,68.0546,166.4372,-12.3,76,80,1.91,RU,2024-04-24
75,astrakhan,46.3497,48.0408,11.93,71,0,4.0,RU,2024-04-24
76,badger,64.8,-147.5333,13.14,35,75,0.0,US,2024-04-24
77,maintirano,-18.0667,44.0167,24.68,90,43,3.89,MG,2024-04-24
78,vuktyl,63.8567,57.3094,-5.5,75,13,4.47,RU,2024-04-24
79,belyy yar,53.6039,91.3903,-1.06,64,40,3.0,RU,2024-04-24
